date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2021-03-13,226.998706216844,15254964362.9288983451372189682,2.13974654,67202869.20206655,1597503.39500103965,7037.5,277.74804958626621895628427399907793198144,291091
2021-03-14,217.78133797207,14637210407.90452209095028231,2.04723617,67210581.697233,1679638.569109589875,7712.5,296.613393785697917973588637767291048989264,277172
2021-03-15,202.337036078963,13600752946.68988395828048697249,1.90268101,67218306.69389723,1563053.603709989175,7725,297.094128311990374226130344620068671898198,313478
2021-03-16,200.270589852044,13463304393.9177558035174344216,1.88204263,67225569.1854914,1454465.15880046955,7262.5,284.678707658434051963041752111944376430544,331906
2021-03-17,205.654084980976,13826624217.14143309037021798352,1.92220846,67232431.67487027,1411301.1581819478,6862.5,279.445005748589812604722035236320053125,292890
2021-03-18,200.1936629787,13460868082.965064124294606088,1.87077573,67239231.66537624,1361316.90825516,6800,276.899967963303539782475167396119669754136,330316
2021-03-19,200.068416159829,13453862066.52306936899574953804,1.86712094,67246306.66229276,1415484.044330790175,7075,288.098130113928301663697908944953101311466,323873
2021-03-20,200.33803497928,13473427855.524437838839746164,1.8683341,67253469.15236505,1434921.175539093,7162.5,284.2751412064379087533258223881906749737152,291449
2021-03-21,195.69319083122,13162547916.5100892622966826448,1.8256324,67261144.14406184,1501945.2396296135,7675,301.3604573839726057409801551182456933921184,301088
2021-03-22,186.86267638056,12570019901.4293753646693269304,1.74632048,67268756.63404059,1422492.123947013,7612.5,298.9063835636018990796331405726774349118224,317749
2021-03-23,186.542879213088,12549797019.85104680768983694304,1.74388997,67275669.12653583,1289477.6525604708,6912.5,274.8009996290995014947616541757066175750144,336016
2021-03-24,177.247972230575,11925632475.03722000131465177825,1.65795643,67282194.12024431,1156543.018804501875,6525,266.83497146867303015416952835869188125,316562
2021-03-25,172.043507976061,11576677605.32717602579377687462,1.61168428,67289244.10758942,1212906.73123123005,7050,288.304452913131674763992015115532021980246,321414
2021-03-26,183.134436779422,12324161325.04688635613932946602,1.71348817,67295706.59553691,1183506.297687014675,6462.5,264.279079628747949482572201085765727984672,254162
2021-03-27,184.363824411064,12408159030.42678083646800263008,1.72421543,67302569.09165172,1265196.7450209267,6862.5,268.68937766291152277909606211199811125,316067
2021-03-28,183.849209985194,12374983460.21970340222978862266,1.71891417,67310506.58970089,1459303.104257477375,7937.5,299.4769043176471100815923203273280076971072,317537
2021-03-29,193.710867042792,13040212473.23141760055111357416,1.80810975,67317919.08375873,1435881.8019546957,7412.5,279.6689822615391503183278292778037017680268,346245
